Date,Date,Close,Volume,ema
2022-05-24,2022-05-24,401.3,135429,
2022-05-25,2022-05-25,358.6,178435,
2022-05-26,2022-05-26,345.85,151505,
2022-05-27,2022-05-27,350.0,173154,
2022-05-30,2022-05-30,361.0,43838,
2022-05-31,2022-05-31,363.15,42112,
2022-06-01,2022-06-01,357.7,128730,
2022-06-02,2022-06-02,365.25,118280,
2022-06-03,2022-06-03,351.8,157992,
2022-06-06,2022-06-06,354.15,112707,360.88
2022-06-07,2022-06-07,347.45,37346,355.495
2022-06-08,2022-06-08,337.85,78943,353.41999999999996
2022-06-09,2022-06-09,333.5,57156,352.185
2022-06-10,2022-06-10,329.75,34584,350.15999999999997
2022-06-13,2022-06-13,320.5,88596,346.11
2022-06-14,2022-06-14,310.4,83203,340.835
2022-06-15,2022-06-15,320.1,39091,337.075
2022-06-16,2022-06-16,299.35,179580,330.485
2022-06-17,2022-06-17,300.0,119185,325.305
2022-06-20,2022-06-20,279.85,114665,317.875
2022-06-21,2022-06-21,292.35,61349,312.365
2022-06-22,2022-06-22,277.75,67456,306.355
2022-06-23,2022-06-23,280.6,79021,301.065
2022-06-24,2022-06-24,284.8,90512,296.57000000000005
2022-06-27,2022-06-27,284.75,124442,292.995
2022-06-28,2022-06-28,269.95,164740,288.95
2022-06-29,2022-06-29,272.75,234683,284.21500000000003
2022-06-30,2022-06-30,266.05,83785,280.88500000000005
2022-07-01,2022-07-01,271.1,44044,277.995
2022-07-04,2022-07-04,274.9,57269,277.5
2022-07-05,2022-07-05,279.8,68697,276.245
2022-07-06,2022-07-06,282.15,145469,276.685
2022-07-07,2022-07-07,292.0,91106,277.825
2022-07-08,2022-07-08,298.25,119840,279.16999999999996
2022-07-11,2022-07-11,303.2,142945,281.015
2022-07-12,2022-07-12,299.85,103935,284.005
2022-07-13,2022-07-13,297.1,47579,286.44
2022-07-14,2022-07-14,299.05,64954,289.74
2022-07-15,2022-07-15,303.55,116831,292.985
2022-07-18,2022-07-18,303.65,61672,295.86
2022-07-19,2022-07-19,303.2,55753,298.2
2022-07-20,2022-07-20,314.15,149636,301.4
2022-07-21,2022-07-21,310.05,79010,303.20500000000004
2022-07-22,2022-07-22,320.55,136232,305.43500000000006
2022-07-25,2022-07-25,316.2,123644,306.735
2022-07-26,2022-07-26,314.25,67008,308.175
2022-07-27,2022-07-27,320.85,54746,310.55
2022-07-28,2022-07-28,321.25,95749,312.77
2022-07-29,2022-07-29,321.55,87004,314.57000000000005
2022-08-01,2022-08-01,335.65,203093,317.77
2022-08-02,2022-08-02,330.05,86969,320.45500000000004
2022-08-03,2022-08-03,320.5,258318,321.09000000000003
2022-08-04,2022-08-04,320.05,301597,322.09000000000003
2022-08-05,2022-08-05,321.9,84873,322.225
2022-08-08,2022-08-08,329.95,199582,323.6
2022-08-10,2022-08-10,329.45,80321,325.12
2022-08-11,2022-08-11,338.6,87975,326.895
2022-08-12,2022-08-12,342.85,88949,329.055
2022-08-16,2022-08-16,341.75,39296,331.075
2022-08-17,2022-08-17,340.8,133043,331.59000000000003
2022-08-18,2022-08-18,342.65,126890,332.85
2022-08-19,2022-08-19,338.6,164410,334.65999999999997
2022-08-22,2022-08-22,322.15,102474,334.87
2022-08-23,2022-08-23,322.65,42839,334.94500000000005
2022-08-24,2022-08-24,325.15,57330,334.46500000000003
2022-08-25,2022-08-25,327.7,152769,334.29
2022-08-26,2022-08-26,348.2,488507,335.25
2022-08-29,2022-08-29,346.1,225077,335.575
2022-08-30,2022-08-30,350.05,124168,336.405
2022-09-01,2022-09-01,352.45,86373,337.57000000000005
2022-09-02,2022-09-02,345.45,54293,337.85
2022-09-05,2022-09-05,346.05,37859,338.595
2022-09-06,2022-09-06,342.45,69563,340.625
2022-09-07,2022-09-07,343.1,76814,342.66999999999996
